study,source,Inst,dbase,hcp_variable,variable_label,variable_type,variable_options,nda_structure,nda_element,structure_label,element_label,element_description,element_values,inst_short,template,action_requested,hcp_variable_upload,specialty_code,requested_python
,REDCap,,hcpa,batlq22_dzt,,,,batbil01,batlq22_dzt,,,,,,,,batlq22_dzt,,
,REDCap,,hcpa,batlq22_age,,,,batbil01,batlq22_age,,,,,,,,batlq22_age,,
,REDCap,,hcpa,batlq23,,,,batbil01,batlq23,,,,,,,,batlq23,,
,REDCap,,hcpa,batlq23_lc,,,,batbil01,batlq23_lc,,,,,,,,batlq23_lc,,
,REDCap,,hcpa,batlq23_lct,,,,batbil01,batlq23_lct,,,,,,,,batlq23_lct,,
,REDCap,,hcpa,batlq23_dz,,,,batbil01,batlq23_dz,,,,,,,,batlq23_dz,,
,REDCap,,hcpa,batlq23_dzt,,,,batbil01,batlq23_dzt,,,,,,,,batlq23_dzt,,
,REDCap,,hcpa,batlq23_age,,,,batbil01,batlq23_age,,,,,,,,batlq23_age,,
,REDCap,,hcpa,batlq24,,,,batbil01,batlq24,,,,,,,,batlq24,,
,REDCap,,hcpa,batlq24_lc,,,,batbil01,batlq24_lc,,,,,,,,batlq24_lc,,
,REDCap,,hcpa,batlq24_lct,,,,batbil01,batlq24_lct,,,,,,,,batlq24_lct,,
,REDCap,,hcpa,batlq24_dz,,,,batbil01,batlq24_dz,,,,,,,,batlq24_dz,,
,REDCap,,hcpa,batlq24_dzt,,,,batbil01,batlq24_dzt,,,,,,,,batlq24_dzt,,
,REDCap,,hcpa,batlq24_age,,,,batbil01,batlq24_age,,,,,,,,batlq24_age,,
,REDCap,,hcpa,batlq25,,,,batbil01,batlq25,,,,,,,,batlq25,,
,REDCap,,hcpa,batlq25_lc,,,,batbil01,batlq25_lc,,,,,,,,batlq25_lc,,
,REDCap,,hcpa,batlq25_lct,,,,batbil01,batlq25_lct,,,,,,,,batlq25_lct,,
,REDCap,,hcpa,batlq25_dz,,,,batbil01,batlq25_dz,,,,,,,,batlq25_dz,,
,REDCap,,hcpa,batlq25_dzt,,,,batbil01,batlq25_dzt,,,,,,,,batlq25_dzt,,
,REDCap,,hcpa,batlq25_age,,,,batbil01,batlq25_age,,,,,,,,batlq25_age,,
,REDCap,,hcpa,batlq26,,,,batbil01,batlq26,,,,,,,,batlq26,,
,REDCap,,hcpa,batlq26_lc,,,,batbil01,batlq26_lc,,,,,,,,batlq26_lc,,
,REDCap,,hcpa,batlq26_lct,,,,batbil01,batlq26_lct,,,,,,,,batlq26_lct,,
,REDCap,,hcpa,batlq26_dz,,,,batbil01,batlq26_dz,,,,,,,,batlq26_dz,,
,REDCap,,hcpa,batlq26_dzt,,,,batbil01,batlq26_dzt,,,,,,,,batlq26_dzt,,
,REDCap,,hcpa,batlq26_age,,,,batbil01,batlq26_age,,,,,,,,batlq26_age,,
,REDCap,,hcpa,batlq27,,,,batbil01,batlq27,,,,,,,,batlq27,,
,REDCap,,hcpa,batlq27_lc,,,,batbil01,batlq27_lc,,,,,,,,batlq27_lc,,
,REDCap,,hcpa,batlq27_lct,,,,batbil01,batlq27_lct,,,,,,,,batlq27_lct,,
,REDCap,,hcpa,batlq27_dz,,,,batbil01,batlq27_dz,,,,,,,,batlq27_dz,,
,REDCap,,hcpa,batlq27_dzt,,,,batbil01,batlq27_dzt,,,,,,,,batlq27_dzt,,
,REDCap,,hcpa,batlq27_age,,,,batbil01,batlq27_age,,,,,,,,batlq27_age,,
,REDCap,,hcpa,batlq28,,,,batbil01,batlq28,,,,,,,,batlq28,,
,REDCap,,hcpa,batlq28_lc,,,,batbil01,batlq28_lc,,,,,,,,batlq28_lc,,
,REDCap,,hcpa,batlq28_lct,,,,batbil01,batlq28_lct,,,,,,,,batlq28_lct,,
,REDCap,,hcpa,batlq28_dz,,,,batbil01,batlq28_dz,,,,,,,,batlq28_dz,,
,REDCap,,hcpa,batlq28_dzt,,,,batbil01,batlq28_dzt,,,,,,,,batlq28_dzt,,
,REDCap,,hcpa,batlq28_age,,,,batbil01,batlq28_age,,,,,,,,batlq28_age,,
,REDCap,,hcpa,batlq29,,,,batbil01,batlq29,,,,,,,,batlq29,,
,REDCap,,hcpa,batlq29_lc,,,,batbil01,batlq29_lc,,,,,,,,batlq29_lc,,
,REDCap,,hcpa,batlq29_lct,,,,batbil01,batlq29_lct,,,,,,,,batlq29_lct,,
,REDCap,,hcpa,batlq29_dz,,,,batbil01,batlq29_dz,,,,,,,,batlq29_dz,,
,REDCap,,hcpa,batlq29_dzt,,,,batbil01,batlq29_dzt,,,,,,,,batlq29_dzt,,
,REDCap,,hcpa,batlq29_age,,,,batbil01,batlq29_age,,,,,,,,batlq29_age,,
,REDCap,,hcpa,batlq30,,,,batbil01,batlq30,,,,,,,,batlq30,,
,REDCap,,hcpa,batlq30_lc,,,,batbil01,batlq30_lc,,,,,,,,batlq30_lc,,
,REDCap,,hcpa,batlq30_lct,,,,batbil01,batlq30_lct,,,,,,,,batlq30_lct,,
,REDCap,,hcpa,batlq30_dz,,,,batbil01,batlq30_dz,,,,,,,,batlq30_dz,,
,REDCap,,hcpa,batlq30_dzt,,,,batbil01,batlq30_dzt,,,,,,,,batlq30_dzt,,
,REDCap,,hcpa,batlq30_age,,,,batbil01,batlq30_age,,,,,,,,batlq30_age,,
,REDCap,,hcpa,batlq31,,,,batbil01,batlq31,,,,,,,,batlq31,,
,REDCap,,hcpa,batlq31_lc,,,,batbil01,batlq31_lc,,,,,,,,batlq31_lc,,
,REDCap,,hcpa,batlq31_lct,,,,batbil01,batlq31_lct,,,,,,,,batlq31_lct,,
,REDCap,,hcpa,batlq31_dz,,,,batbil01,batlq31_dz,,,,,,,,batlq31_dz,,
,REDCap,,hcpa,batlq31_dzt,,,,batbil01,batlq31_dzt,,,,,,,,batlq31_dzt,,
,REDCap,,hcpa,batlq31_age,,,,batbil01,batlq31_age,,,,,,,,batlq31_age,,
,REDCap,,hcpa,batlq32,,,,batbil01,batlq32,,,,,,,,batlq32,,
,REDCap,,hcpa,batlq32_lc,,,,batbil01,batlq32_lc,,,,,,,,batlq32_lc,,
,REDCap,,hcpa,batlq32_lct,,,,batbil01,batlq32_lct,,,,,,,,batlq32_lct,,
,REDCap,,hcpa,batlq32_dz,,,,batbil01,batlq32_dz,,,,,,,,batlq32_dz,,
,REDCap,,hcpa,batlq32_dzt,,,,batbil01,batlq32_dzt,,,,,,,,batlq32_dzt,,
,REDCap,,hcpa,batlq32_age,,,,batbil01,batlq32_age,,,,,,,,batlq32_age,,
,REDCap,,hcpa,batlq33,,,,batbil01,batlq33,,,,,,,,batlq33,,
,REDCap,,hcpa,batlq33_lc,,,,batbil01,batlq33_lc,,,,,,,,batlq33_lc,,
,REDCap,,hcpa,batlq33_lct,,,,batbil01,batlq33_lct,,,,,,,,batlq33_lct,,
,REDCap,,hcpa,batlq33_dz,,,,batbil01,batlq33_dz,,,,,,,,batlq33_dz,,
,REDCap,,hcpa,batlq33_dzt,,,,batbil01,batlq33_dzt,,,,,,,,batlq33_dzt,,
,REDCap,,hcpa,batlq33_age,,,,batbil01,batlq33_age,,,,,,,,batlq33_age,,
,REDCap,,hcpa,batlq34,,,,batbil01,batlq34,,,,,,,,batlq34,,
,REDCap,,hcpa,batlq34_lc,,,,batbil01,batlq34_lc,,,,,,,,batlq34_lc,,
,REDCap,,hcpa,batlq34_lct,,,,batbil01,batlq34_lct,,,,,,,,batlq34_lct,,
,REDCap,,hcpa,batlq34_dz,,,,batbil01,batlq34_dz,,,,,,,,batlq34_dz,,
,REDCap,,hcpa,batlq34_dzt,,,,batbil01,batlq34_dzt,,,,,,,,batlq34_dzt,,
,REDCap,,hcpa,batlq34_age,,,,batbil01,batlq34_age,,,,,,,,batlq34_age,,
,REDCap,,hcpa,batlq35,,,,batbil01,batlq35,,,,,,,,batlq35,,
,REDCap,,hcpa,batlq35_lc,,,,batbil01,batlq35_lc,,,,,,,,batlq35_lc,,
,REDCap,,hcpa,batlq35_lct,,,,batbil01,batlq35_lct,,,,,,,,batlq35_lct,,
,REDCap,,hcpa,batlq35_dz,,,,batbil01,batlq35_dz,,,,,,,,batlq35_dz,,
,REDCap,,hcpa,batlq35_dzt,,,,batbil01,batlq35_dzt,,,,,,,,batlq35_dzt,,
,REDCap,,hcpa,batlq35_age,,,,batbil01,batlq35_age,,,,,,,,batlq35_age,,
,REDCap,,hcpa,batlq36,,,,batbil01,batlq36,,,,,,,,batlq36,,
,REDCap,,hcpa,batlq36_lc,,,,batbil01,batlq36_lc,,,,,,,,batlq36_lc,,
,REDCap,,hcpa,batlq36_lct,,,,batbil01,batlq36_lct,,,,,,,,batlq36_lct,,
,REDCap,,hcpa,batlq36_dz,,,,batbil01,batlq36_dz,,,,,,,,batlq36_dz,,
,REDCap,,hcpa,batlq36_dzt,,,,batbil01,batlq36_dzt,,,,,,,,batlq36_dzt,,
,REDCap,,hcpa,batlq36_age,,,,batbil01,batlq36_age,,,,,,,,batlq36_age,,
,REDCap,,hcpa,batlq37,,,,batbil01,batlq37,,,,,,,,batlq37,,
,REDCap,,hcpa,batlq37_lc,,,,batbil01,batlq37_lc,,,,,,,,batlq37_lc,,
,REDCap,,hcpa,batlq37_lct,,,,batbil01,batlq37_lct,,,,,,,,batlq37_lct,,
,REDCap,,hcpa,batlq37_dz,,,,batbil01,batlq37_dz,,,,,,,,batlq37_dz,,
,REDCap,,hcpa,batlq37_dzt,,,,batbil01,batlq37_dzt,,,,,,,,batlq37_dzt,,
,REDCap,,hcpa,batlq37_age,,,,batbil01,batlq37_age,,,,,,,,batlq37_age,,
,REDCap,,hcpa,batlq38,,,,batbil01,batlq38,,,,,,,,batlq38,,
,REDCap,,hcpa,batlq38_lc,,,,batbil01,batlq38_lc,,,,,,,,batlq38_lc,,
,REDCap,,hcpa,batlq38_lct,,,,batbil01,batlq38_lct,,,,,,,,batlq38_lct,,
,REDCap,,hcpa,batlq38_dz,,,,batbil01,batlq38_dz,,,,,,,,batlq38_dz,,
,REDCap,,hcpa,batlq38_dzt,,,,batbil01,batlq38_dzt,,,,,,,,batlq38_dzt,,
,REDCap,,hcpa,batlq38_age,,,,batbil01,batlq38_age,,,,,,,,batlq38_age,,
,REDCap,,hcpa,batlq39,,,,batbil01,batlq39,,,,,,,,batlq39,,
,REDCap,,hcpa,batlq39_lc,,,,batbil01,batlq39_lc,,,,,,,,batlq39_lc,,
,REDCap,,hcpa,batlq39_lct,,,,batbil01,batlq39_lct,,,,,,,,batlq39_lct,,
,REDCap,,hcpa,batlq39_dz,,,,batbil01,batlq39_dz,,,,,,,,batlq39_dz,,
,REDCap,,hcpa,batlq39_dzt,,,,batbil01,batlq39_dzt,,,,,,,,batlq39_dzt,,
,REDCap,,hcpa,batlq39_age,,,,batbil01,batlq39_age,,,,,,,,batlq39_age,,
,REDCap,,ssaga,mh1,,,,medh01,sf1,,,,,,,,mh1,1,
,REDCap,,ssaga,mh2,,,,medh01,mh2,,,,,,,,mh2,1,
,REDCap,,ssaga,mh4a,,,,medh01,mh4a,,,,,,,,mh4a,1,
,REDCap,,ssaga,mh4b,,,,medh01,tosurg,,,,,,,,mh4b,1,
,REDCap,,ssaga,mh4c,,,,medh01,baseline_m_008,,,,,,,,mh4c,1,
,REDCap,,ssaga,mh5,,,,medh01,mh5,,,,,,,,mh5,1,
,REDCap,,ssaga,mh6a1,,,,medh01,mh6a1,,,,,,,"Please recode 1 as 0 (for ""No"") and 5 as 1 (for ""Yes"").",mh6a1,1,"studydata.mh6a1=studydata.mh6a1.str.replace('1','0'); studydata.mh6a1=studydata.mh6a1.str.replace('5','1')"
,REDCap,,ssaga,mh6a2,,,,medh01,mh6a2,,,,,,,"Please recode 1 as 0 (for ""No"") and 5 as 1 (for ""Yes"").",mh6a2,1,"studydata.mh6a2=studydata.mh6a2.str.replace('1','0'); studydata.mh6a2=studydata.mh6a2.str.replace('5','1')"
,REDCap,,ssaga,mh6a3,,,,medh01,mh6a3,,,,,,,"Please recode 1 as 0 (for ""No"") and 5 as 1 (for ""Yes"").",mh6a3,1,"studydata.mh6a3=studydata.mh6a3.str.replace('1','0'); studydata.mh6a3=studydata.mh6a3.str.replace('5','1')"
,REDCap,,ssaga,mh6a4,,,,medh01,mh6a4,,,,,,,"Please recode 1 as 0 (for ""No"") and 5 as 1 (for ""Yes"").",mh6a4,1,"studydata.mh6a4=studydata.mh6a4.str.replace('1','0'); studydata.mh6a4=studydata.mh6a4.str.replace('5','1')"
,REDCap,,ssaga,mh6a5,,,,medh01,mh6a5,,,,,,,"Please recode 1 as 0 (for ""No"") and 5 as 1 (for ""Yes"").",mh6a5,1,"studydata.mh6a5=studydata.mh6a5.str.replace('1','0'); studydata.mh6a5=studydata.mh6a5.str.replace('5','1')"
,REDCap,,ssaga,mh6a6,,,,medh01,mh6a6,,,,,,,"Please recode 1 as 0 (for ""No"") and 5 as 1 (for ""Yes"").",mh6a6,1,"studydata.mh6a6=studydata.mh6a6.str.replace('1','0'); studydata.mh6a6=studydata.mh6a6.str.replace('5','1')"
,REDCap,,ssaga,mh6a7,,,,medh01,mh6a7,,,,,,,"Please recode 1 as 0 (for ""No"") and 5 as 1 (for ""Yes"").",mh6a7,1,"studydata.mh6a7=studydata.mh6a7.str.replace('1','0'); studydata.mh6a7=studydata.mh6a7.str.replace('5','1')"
,REDCap,,ssaga,mh_notes,,,,medh01,comments_misc,,,,,,,,,1,
,REDCap,,hcpa,dental1,,,,medh01,dental1,,,,,,,,dental1,1,
,REDCap,,hcpa,dental2,,,,medh01,dental2,,,,,,,,dental2,1,
,REDCap,,hcpa,dental2_1,,,,medh01,dental2_1,,,,,,,,dental2_1,1,
,REDCap,,hcpa,dental3,,,,medh01,dental3,,,,,,,,dental3,1,
,REDCap,,hcpa,dental3_1,,,,medh01,dental3_1,,,,,,,,dental3_1,1,
,REDCap,,hcpa,dental3_2,,,,medh01,dental3_2,,,,,,,,dental3_2,1,
,REDCap,,hcpa,dental4,,,,medh01,dental4,,,,,,,,dental4,1,
,REDCap,,hcpa,dental4_1,,,,medh01,dental4_1,,,,,,,,dental4_1,1,
,REDCap,,hcpa,dental4_2,,,,medh01,dental4_2,,,,,,,,dental4_2,1,
,REDCap,,hcpa,dental5,,,,medh01,dental5,,,,,,,,dental5,1,
,REDCap,,hcpa,dental5_1,,,,medh01,dental5_1,,,,,,,,dental5_1,1,
,REDCap,,hcpa,dental5_2,,,,medh01,dental5_2,,,,,,,,dental5_2,1,
,REDCap,,hcpa,dental6,,,,medh01,dental6,,,,,,,,dental6,1,
,REDCap,,hcpa,dental6_1,,,,medh01,dental6_1,,,,,,,,dental6_1,1,
,REDCap,,hcpa,dental6_2,,,,medh01,dental6_2,,,,,,,,dental6_2,1,
,REDCap,,hcpa,moca_edu,,,,moca01,moca_edu,,,,,,,,moca_edu,,
,REDCap,,hcpa,moca1,,,,moca01,visuospatial_executive,,,,,,,,moca1,,
,REDCap,,hcpa,moca2,,,,moca01,naming,,,,,,,,moca2,,
,REDCap,,hcpa,moca3,,,,moca01,attention_digit,,,,,,,,moca3,,
,REDCap,,hcpa,moca4,,,,moca01,attention_letter,,,,,,,,moca4,,
,REDCap,,hcpa,moca5,,,,moca01,attention_subtraction,,,,,,,,moca5,,
,REDCap,,hcpa,moca6,,,,moca01,mull_el_rs2,,,,,,,,moca6,,
,REDCap,,hcpa,moca7,,,,moca01,language_letter,,,,,,,,moca7,,
,REDCap,,hcpa,moca8,,,,moca01,abstraction,,,,,,,,moca8,,
,REDCap,,hcpa,moca9,,,,moca01,delayed_recall,,,,,,,,moca9,,
,REDCap,,hcpa,moca10,,,,moca01,orientation,,,,,,,,moca10,,
,REDCap,,hcpa,moca_sum,,,,moca01,moca_total,,,,,,,,moca_sum,,
,REDCap,,hcpa,neo1,,,,nffi01,nffi_1,,,,,,,,neo1,,
,REDCap,,hcpa,neo2,,,,nffi01,nffi_2,,,,,,,,neo2,,
,REDCap,,hcpa,neo3,,,,nffi01,nffi_3,,,,,,,,neo3,,
,REDCap,,hcpa,neo4,,,,nffi01,nffi_4,,,,,,,,neo4,,
,REDCap,,hcpa,neo5,,,,nffi01,nffi_5,,,,,,,,neo5,,
,REDCap,,hcpa,neo6,,,,nffi01,nffi_6,,,,,,,,neo6,,
,REDCap,,hcpa,neo7,,,,nffi01,nffi_7,,,,,,,,neo7,,
,REDCap,,hcpa,neo8,,,,nffi01,nffi_8,,,,,,,,neo8,,
,REDCap,,hcpa,neo9,,,,nffi01,nffi_9,,,,,,,,neo9,,
,REDCap,,hcpa,neo10,,,,nffi01,nffi_10,,,,,,,,neo10,,
,REDCap,,hcpa,neo11,,,,nffi01,nffi_11,,,,,,,,neo11,,
,REDCap,,hcpa,neo12,,,,nffi01,nffi_12,,,,,,,,neo12,,
,REDCap,,hcpa,neo13,,,,nffi01,nffi_13,,,,,,,,neo13,,
,REDCap,,hcpa,neo14,,,,nffi01,nffi_14,,,,,,,,neo14,,
,REDCap,,hcpa,neo15,,,,nffi01,nffi_15,,,,,,,,neo15,,
,REDCap,,hcpa,neo16,,,,nffi01,nffi_16,,,,,,,,neo16,,
,REDCap,,hcpa,neo17,,,,nffi01,nffi_17,,,,,,,,neo17,,
,REDCap,,hcpa,neo18,,,,nffi01,nffi_18,,,,,,,,neo18,,
,REDCap,,hcpa,neo19,,,,nffi01,nffi_19,,,,,,,,neo19,,
,REDCap,,hcpa,neo20,,,,nffi01,nffi_20,,,,,,,,neo20,,
,REDCap,,hcpa,neo21,,,,nffi01,nffi_21,,,,,,,,neo21,,
,REDCap,,hcpa,neo22,,,,nffi01,nffi_22,,,,,,,,neo22,,
,REDCap,,hcpa,neo23,,,,nffi01,nffi_23,,,,,,,,neo23,,
,REDCap,,hcpa,neo24,,,,nffi01,nffi_24,,,,,,,,neo24,,
,REDCap,,hcpa,neo25,,,,nffi01,nffi_25,,,,,,,,neo25,,
,REDCap,,hcpa,neo26,,,,nffi01,nffi_26,,,,,,,,neo26,,
,REDCap,,hcpa,neo27,,,,nffi01,nffi_27,,,,,,,,neo27,,
,REDCap,,hcpa,neo28,,,,nffi01,nffi_28,,,,,,,,neo28,,
,REDCap,,hcpa,neo29,,,,nffi01,nffi_29,,,,,,,,neo29,,
,REDCap,,hcpa,neo30,,,,nffi01,nffi_30,,,,,,,,neo30,,
,REDCap,,hcpa,neo31,,,,nffi01,nffi_31,,,,,,,,neo31,,
,REDCap,,hcpa,neo32,,,,nffi01,nffi_32,,,,,,,,neo32,,
,REDCap,,hcpa,neo33,,,,nffi01,nffi_33,,,,,,,,neo33,,
,REDCap,,hcpa,neo34,,,,nffi01,nffi_34,,,,,,,,neo34,,
,REDCap,,hcpa,neo35,,,,nffi01,nffi_35,,,,,,,,neo35,,
,REDCap,,hcpa,neo36,,,,nffi01,nffi_36,,,,,,,,neo36,,
,REDCap,,hcpa,neo37,,,,nffi01,nffi_37,,,,,,,,neo37,,
,REDCap,,hcpa,neo38,,,,nffi01,nffi_38,,,,,,,,neo38,,
,REDCap,,hcpa,neo39,,,,nffi01,nffi_39,,,,,,,,neo39,,
,REDCap,,hcpa,neo40,,,,nffi01,nffi_40,,,,,,,,neo40,,
,REDCap,,hcpa,neo41,,,,nffi01,nffi_41,,,,,,,,neo41,,
,REDCap,,hcpa,neo42,,,,nffi01,nffi_42,,,,,,,,neo42,,
,REDCap,,hcpa,neo43,,,,nffi01,nffi_43,,,,,,,,neo43,,
,REDCap,,hcpa,neo44,,,,nffi01,nffi_44,,,,,,,,neo44,,
,REDCap,,hcpa,neo45,,,,nffi01,nffi_45,,,,,,,,neo45,,
,REDCap,,hcpa,neo46,,,,nffi01,nffi_46,,,,,,,,neo46,,
,REDCap,,hcpa,neo47,,,,nffi01,nffi_47,,,,,,,,neo47,,
,REDCap,,hcpa,neo48,,,,nffi01,nffi_48,,,,,,,,neo48,,
,REDCap,,hcpa,neo49,,,,nffi01,nffi_49,,,,,,,,neo49,,
,REDCap,,hcpa,neo50,,,,nffi01,nffi_50,,,,,,,,neo50,,
,REDCap,,hcpa,neo51,,,,nffi01,nffi_51,,,,,,,,neo51,,
,REDCap,,hcpa,neo52,,,,nffi01,nffi_52,,,,,,,,neo52,,
,REDCap,,hcpa,neo53,,,,nffi01,nffi_53,,,,,,,,neo53,,
,REDCap,,hcpa,neo54,,,,nffi01,nffi_54,,,,,,,,neo54,,
,REDCap,,hcpa,neo55,,,,nffi01,nffi_55,,,,,,,,neo55,,
,REDCap,,hcpa,neo56,,,,nffi01,nffi_56,,,,,,,,neo56,,
,REDCap,,hcpa,neo57,,,,nffi01,nffi_57,,,,,,,,neo57,,
,REDCap,,hcpa,neo58,,,,nffi01,nffi_58,,,,,,,,neo58,,
,REDCap,,hcpa,neo59,,,,nffi01,nffi_59,,,,,,,,neo59,,
,REDCap,,hcpa,neo60,,,,nffi01,nffi_60,,,,,,,,neo60,,
,REDCap,,hcpa,iadl1,,,,lbadl01,adlnow8,,,,,,,Please decrement your 1::4 scale to 0::3.,iadl1,,"iadl1=pd.to_numeric(studydata.iadl1,errors='coerce')-1; studydata.iadl1=iadl1.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,iadl2,,,,lbadl01,adlnow12,,,,,,,Please decrement your 1::4 scale to 0::3.,iadl2,,"iadl2=pd.to_numeric(studydata.iadl2,errors='coerce')-1; studydata.iadl2=iadl2.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,iadl3,,,,lbadl01,adlnow4,,,,,,,Please decrement your 1::4 scale to 0::3.,iadl3,,"iadl3=pd.to_numeric(studydata.iadl3,errors='coerce')-1; studydata.iadl3=iadl3.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,iadl4,,,,lbadl01,adlnow1,,,,,,,Please decrement your 1::5 scale to 0::4.,iadl4,,"iadl4=pd.to_numeric(studydata.iadl4,errors='coerce')-1; studydata.iadl4=iadl4.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,iadl5,,,,lbadl01,iadl05,,,,,,,Please rename this column 'iadl05' to resolve a naming conflict in our database.,iadl05,,studydata['iadl05']=studydata['iadl5']
,REDCap,,hcpa,iadl6,,,,lbadl01,iadl6,,,,,,,,iadl6,,
,REDCap,,hcpa,iadl7,,,,lbadl01,adlnow14,,,,,,,Please decrement your 1::3 scale to 0::2.,iadl7,,"iadl7=pd.to_numeric(studydata.iadl7,errors='coerce')-1; studydata.iadl7=iadl7.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,iadl8,,,,lbadl01,adlnow2,,,,,,,Please decrement your 1::3 scale to 0::2.,iadl8,,"iadl8=pd.to_numeric(studydata.iadl8,errors='coerce')-1; studydata.iadl8=iadl8.fillna(-99).astype(int).astype(str).str.replace('-99','')"
,REDCap,,hcpa,iadl_score,,,,lbadl01,lbadl_currtot,,,,,,,,iadl_score,,
,REDCap,,hcpa,med1_dose,,,,mendt01,medication1_dosage,,,,,,,,med1_dose,,
,REDCap,,hcpa,med10_dose,,,,mendt01,medication10_dose,,,,,,,,med10_dose,,
,REDCap,,hcpa,med11_dose,,,,mendt01,medication11_dosage,,,,,,,,med11_dose,,
,REDCap,,hcpa,med12_dose,,,,mendt01,medication12_dosage,,,,,,,,med12_dose,,
,REDCap,,hcpa,med13_dose,,,,mendt01,medication13_dosage,,,,,,,,med13_dose,,
,REDCap,,hcpa,med14_dose,,,,mendt01,medication14_dosage,,,,,,,,med14_dose,,
,REDCap,,hcpa,med15_dose,,,,mendt01,medication15_dosage,,,,,,,,med15_dose,,
,REDCap,,hcpa,med2_dose,,,,mendt01,medication2_dosage,,,,,,,,med2_dose,,
,REDCap,,hcpa,med3_dose,,,,mendt01,medication3_dosage,,,,,,,,med3_dose,,
,REDCap,,hcpa,med4_dose,,,,mendt01,medication4_dosage,,,,,,,,med4_dose,,
,REDCap,,hcpa,med5_dose,,,,mendt01,medication5_dosage,,,,,,,,med5_dose,,
,REDCap,,hcpa,med6_dose,,,,mendt01,medication6_dosage,,,,,,,,med6_dose,,
,REDCap,,hcpa,med7_dose,,,,mendt01,medication7_dosage,,,,,,,,med7_dose,,
,REDCap,,hcpa,med8_dose,,,,mendt01,medication8_dosage,,,,,,,,med8_dose,,
,REDCap,,hcpa,med9_dose,,,,mendt01,medication9_dosage,,,,,,,,med9_dose,,
,REDCap,,hcpa,med_yn,,,,mendt01,othmed0a,,,,,,,,med_yn,,
,REDCap,,hcpa,med_num,,,,mendt01,num_meds,,,,,,,,med_num,,
,REDCap,,hcpa,med1_frqcy,,,,mendt01,medication1_frequency,,,,,,,,med1_frqcy,,
,REDCap,,hcpa,med10_frqcy,,,,mendt01,medication10_frequency,,,,,,,,med10_frqcy,,
,REDCap,,hcpa,med11_frqcy,,,,mendt01,phi217,,,,,,,,med11_frqcy,,
,REDCap,,hcpa,med12_frqcy,,,,mendt01,med12_frqcy,,,,,,,,med12_frqcy,,
,REDCap,,hcpa,med13_frqcy,,,,mendt01,med13_frqcy,,,,,,,,med13_frqcy,,
,REDCap,,hcpa,med14_frqcy,,,,mendt01,med14_frqcy,,,,,,,,med14_frqcy,,
,REDCap,,hcpa,med15_frqcy,,,,mendt01,med15_frqcy,,,,,,,,med15_frqcy,,
,REDCap,,hcpa,med2_frqcy,,,,mendt01,medication2_frequency,,,,,,,,med2_frqcy,,
,REDCap,,hcpa,med3_frqcy,,,,mendt01,medication3_frequency,,,,,,,,med3_frqcy,,
,REDCap,,hcpa,med4_frqcy,,,,mendt01,medication4_frequency,,,,,,,,med4_frqcy,,
,REDCap,,hcpa,med5_frqcy,,,,mendt01,medication5_frequency,,,,,,,,med5_frqcy,,
,REDCap,,hcpa,med6_frqcy,,,,mendt01,medication6_frequency,,,,,,,,med6_frqcy,,
,REDCap,,hcpa,med7_frqcy,,,,mendt01,medication7_frequency,,,,,,,,med7_frqcy,,
,REDCap,,hcpa,med8_frqcy,,,,mendt01,medication8_frequency,,,,,,,,med8_frqcy,,
,REDCap,,hcpa,med9_frqcy,,,,mendt01,medication9_frequency,,,,,,,,med9_frqcy,,
,REDCap,,hcpa,med1,,,,mendt01,medication1_name,,,,,,,,med1,,
,REDCap,,hcpa,med10,,,,mendt01,medication_10_name,,,,,,,,med10,,
,REDCap,,hcpa,med11,,,,mendt01,medication11_name,,,,,,,,med11,,
,REDCap,,hcpa,med12,,,,mendt01,medication12_name,,,,,,,,med12,,
,REDCap,,hcpa,med13,,,,mendt01,medication13_name,,,,,,,,med13,,
,REDCap,,hcpa,med14,,,,mendt01,medication14_name,,,,,,,,med14,,
,REDCap,,hcpa,med15,,,,mendt01,medication15_name,,,,,,,,med15,,
,REDCap,,hcpa,med2,,,,mendt01,medication2_name,,,,,,,,med2,,
,REDCap,,hcpa,med3,,,,mendt01,medication3_name,,,,,,,,med3,,
,REDCap,,hcpa,med4,,,,mendt01,medication4_name,,,,,,,,med4,,
,REDCap,,hcpa,med5,,,,mendt01,medication5_name,,,,,,,,med5,,
,REDCap,,hcpa,med6,,,,mendt01,medication6_name,,,,,,,,med6,,
,REDCap,,hcpa,med7,,,,mendt01,medication7_name,,,,,,,,med7,,
,REDCap,,hcpa,med8,,,,mendt01,medication8_name,,,,,,,,med8,,
,REDCap,,hcpa,med9,,,,mendt01,medication9_name,,,,,,,,med9,,
,REDCap,,hcpa,lan_know,,,,leap01,lan_know,,,,,,,,lan_know,,
,REDCap,,hcpa,lan11,,,,leap01,lan11,,,,,,,,lan11,,
,REDCap,,hcpa,lan12,,,,leap01,lan12,,,,,,,,lan12,,
,REDCap,,hcpa,lan13,,,,leap01,lan13,,,,,,,,lan13,,
,REDCap,,hcpa,lan14,,,,leap01,lan14,,,,,,,,lan14,,
