study,source,dbase,Inst,hcp_variable,variable_label,variable_type,variable_options,nda_structure,nda_element,structure_label,element_label,element_description,element_values,inst_short,template,action_request,hcp_variable_upload,specialty_code,requested_python
HCPD,REDCap,hcpd18,,sub_yrs_in_usa,,,,socdem01,ustime_coded,,,,,,,,sub_yrs_in_usa,,
HCPD,REDCap,hcpd18,,sub_gender,,,,socdem01,fspgod,,,,,,,,sub_gender,,"studydata['sub_gender_string']=studydata.sub_gender.replace({'1' : 'MALE' , '2' : 'FEMALE'  , '3' : 'Trans male/Trans man', '4': 'Trans female/Trans woman', '5': 'Genderqueer/Gender non-conforming','6':'Different identity:','7':'REFUSED','8':'DONT KNOW'}); studydata['sub_gender_string']=studydata.sub_gender_string+studydata.sub_gender_different; studydata['sub_gender']=studydata.sub_gender_string"
HCPD,REDCap,hcpd18,,sub_gender_different,,,,socdem01,sub_gender_different,,,,,,,Gender identity is a free-text field. Please concatenate responses from 'sub_gender' and 'sub_gender_different' in the 'sub_gender' column.,,,
HCPD,REDCap,hcpd18,,sub_marriage,,,,socdem01,das1ms,,,,,,,Please convert numeric codes to the text strings they represent.,sub_marriage,,"studydata['sub_marriage']=studydata.sub_marriage.replace({'1' : 'MARRIED' , '2' : 'WIDOWED'  , '3' : 'DIVORCED', '4': 'SEPARATED', '5': 'NEVER MARRIED','6':'LIVING WITH PARTNER','7':'REFUSED','9':'DONT KNOW'})"
HCPD,REDCap,hcpd18,,sub_grade,,,,socdem01,bkgrnd_education,,,,,,,Please convert numeric codes to the text strings they represent.,sub_grade,,"studydata['sub_grade']=studydata.sub_grade.replace({'0' : 'KINDERGARTEN' , '1' : '1ST GRADE' , '2' : '2ND GRADE' , '3' : '3RD GRADE' , '4' : '4TH GRADE' , '5' : '5TH GRADE' , '6' : '6TH GRADE' , '7' : '7TH GRADE' , '8' : '8TH GRADE' , '9' : '9TH GRADE' , '10' : '10TH GRADE' , '11' : '11TH GRADE' , '12' : '12TH GRADE NO DIPLOMA' , '13' : 'HIGH SCHOOL GRADUATE' , '14' : 'GED OR EQUIVALENT' , '15' : 'SOME COLLEGE NO DEGREE' , '16' : 'ASSOCIATE DEGREE: OCCUPATIONAL TECHNICAL OR VOCATIONAL PROGRAM' , '17' : 'ASSOCIATE DEGREE: ACADEMIC PROGRAM' , '18' : 'BACHELORS DEGREE (EXAMPLE: BA AB BS BBA)' , '19' : 'MASTERS DEGREE (EXAMPLE: MA MS MEng MEd MBA)' , '20' : 'PROFESSIONAL SCHOOL DEGREE (EXAMPLE: MD DDS DVM JD)' , '21' : 'DOCTORAL DEGREE (EXAMPLE:PhD EdD)' , '77' : 'REFUSED' , '99' : 'DONT KNOW'})"
HCPD,REDCap,hcpd18,,sub_job,,,,socdem01,area4_explain,,,,,,,Please convert numeric codes to the text strings they represent.,sub_job,,"studydata['sub_job']=studydata.sub_job.replace({'1': 'WORKING NOW', '2': 'ONLY TEMPORARILY LAID OFF', '2.1': 'SICK LEAVE', '2.2': 'MATERNITY LEAVE', '3.1': 'UNEMPLOYED LOOKING FOR WORK','3.2' : 'UNEMPLOYED NOT LOOKING FOR WORK', '4': 'RETIRED', '5': 'DISABLED PERMANENTLY OR TEMPORARILY', '6' : 'TAKING CARE OF CHILDREN AND/OR RAISING CHILDREN AND/OR CARING FOR AGING PARENTS' , '7': 'STUDENT', '8' : 'OTHER: '})"
HCPD,REDCap,hcpd18,,sub_job1_1,,,,socdem01,employcur,,,,,,,,sub_job1_1,,
HCPD,REDCap,hcpd18,,sub_job7_1,,,,socdem01,paofwork5,,,,,,,,sub_job7_1,,
HCPD,REDCap,hcpd18,,sub_job8_1,,,,socdem01,sub_job8_1,,,,,,,"Because 'sub_job' is a free-text field, please concatenate subjects' specified answers with 'sub_job' answers.",,,studydata['sub_job']=studydata.sub_job+studydata.sub_job8_1
HCPD,REDCap,hcpd18,,sub_business,,,,socdem01,ind_type,,,,,,,,sub_business,,
HCPD,REDCap,hcpd18,,sub_work,,,,socdem01,jobh,,,,,,,,sub_work,,
HCPD,REDCap,hcpd18,,sub_income_num,,,,socdem01,calm_inc1,,,,,,,"Please us 98 as the missing code, rather than 999999.",sub_income_num,,"studydata.loc[studydata.sub_income_num.str.contains('99'),'sub_income_num']='98'"
HCPD,REDCap,hcpd18,,sub_income,,,,socdem01,sub_income,,,,,,,,sub_income,,
HCPD,REDCap,hcpd18,,sub_income_fam,,,,socdem01,annual_fam_inc,,,,,,,,sub_income_fam,,
HCPD,REDCap,hcpd18,,sub_income_famcode,,,,socdem01,sub_income_famcode,,,,,,,,sub_income_famcode,,
HCPD,REDCap,hcpd18,,sub_income_fampl,,,,socdem01,household_number_in_house,,,,,,,,sub_income_fampl,,
HCPD,REDCap,hcpd18,,sub_momage,,,,socdem01,preg_age_mom,,,,,,,,sub_momage,,
HCPD,REDCap,hcpd18,,sub_dadage,,,,socdem01,preg_age_dad,,,,,,,,sub_dadage,,
HCPD,REDCap,hcpd18,,sub_bio_f_country,,,,socdem01,birthcountry_dad,,,,,,,Please convert numeric codes to the text strings they represent.,sub_bio_f_country,,"studydata['sub_bio_f_country']=studydata.sub_bio_f_country.replace({'840' : 'United States' , '4' : 'Afghanistan' , '248' : 'Aland Islands' , '8' : 'Albania' , '12' : 'Algeria' , '16' : 'American Samoa' , '20' : 'Andorra' , '24' : 'Angola' , '660' : 'Anguilla' , '10' : 'Antarctica' , '28' : 'Antigua and Barbuda' , '32' : 'Argentina' , '51' : 'Armenia' , '533' : 'Aruba' , '36' : 'Australia' , '40' : 'Austria' , '31' : 'Azerbaijan' , '44' : 'Bahamas' , '48' : 'Bahrain' , '50' : 'Bangladesh' , '52' : 'Barbados' , '112' : 'Belarus' , '56' : 'Belgium' , '84' : 'Belize' , '204' : 'Benin' , '60' : 'Bermuda' , '64' : 'Bhutan' , '68' : 'Plurinational State of Bolivia' , '535' : 'Bonaire Sint Eustatius and Saba' , '70' : 'Bosnia and Herzegovina' , '72' : 'Botswana' , '74' : 'Bouvet Island' , '76' : 'Brazil' , '86' : 'British Indian Ocean Territory' , '96' : 'Brunei Darussalam' , '100' : 'Bulgaria' , '854' : 'Burkina Faso' , '108' : 'Burundi' , '116' : 'Cambodia' , '120' : 'Cameroon' , '124' : 'Canada' , '132' : 'Cape Verde' , '136' : 'Cayman Islands' , '140' : 'Central African Republic' , '148' : 'Chad' , '152' : 'Chile' , '156' : 'China' , '162' : 'Christmas Island' , '166' : 'Cocos (Keeling) Islands' , '170' : 'Colombia' , '174' : 'Comoros' , '178' : 'Congo' , '180' : 'the Democratic Republic of the Congo' , '184' : 'Cook Islands' , '188' : 'Costa Rica' , '384' : 'Cote dIvoire' , '191' : 'Croatia' , '192' : 'Cuba' , '531' : 'Curacao' , '196' : 'Cyprus' , '203' : 'Czech Republic' , '208' : 'Denmark' , '262' : 'Djibouti' , '212' : 'Dominica' , '214' : 'Dominican Republic' , '218' : 'Ecuador' , '818' : 'Egypt' , '222' : 'El Salvador' , '226' : 'Equatorial Guinea' , '232' : 'Eritrea' , '233' : 'Estonia' , '231' : 'Ethiopia' , '238' : 'Falkland Islands (Malvinas)' , '234' : 'Faroe Islands' , '242' : 'Fiji' , '246' : 'Finland' , '250' : 'France' , '254' : 'French Guiana' , '258' : 'French Polynesia' , '260' : 'French Southern Territories' , '266' : 'Gabon' , '270' : 'Gambia' , '268' : 'Georgia' , '276' : 'Germany' , '288' : 'Ghana' , '292' : 'Gibraltar' , '300' : 'Greece' , '304' : 'Greenland' , '308' : 'Grenada' , '312' : 'Guadeloupe' , '316' : 'Guam' , '320' : 'Guatemala' , '831' : 'Guernsey' , '324' : 'Guinea' , '624' : 'Guinea-Bissau' , '328' : 'Guyana' , '332' : 'Haiti' , '334' : 'Heard Island and McDonald Islands' , '336' : 'Holy See (Vatican City State)' , '340' : 'Honduras' , '344' : 'Hong Kong' , '348' : 'Hungary' , '352' : 'Iceland' , '356' : 'India' , '360' : 'Indonesia' , '364' : 'Islamic Republic of Iran' , '368' : 'Iraq' , '372' : 'Ireland' , '833' : 'Isle of Man' , '376' : 'Israel' , '380' : 'Italy' , '388' : 'Jamaica' , '392' : 'Japan' , '832' : 'Jersey' , '400' : 'Jordan' , '398' : 'Kazakhstan' , '404' : 'Kenya' , '296' : 'Kiribati' , '408' :  'Democratic Peoples Republic of Korea' , '410'  : 'Republic of Korea' , '414' : 'Kuwait' , '417' : 'Kyrgyzstan' , '418' : 'Lao Peoples Democratic Republic' , '428' : 'Latvia' , '422' : 'Lebanon' , '426' : 'Lesotho' , '430' : 'Liberia' , '434' : 'Libya' , '438' : 'Liechtenstein' , '440' : 'Lithuania' , '442' : 'Luxembourg' , '446' : 'Macao' , '807' : 'the former Yugoslav Republic of Macedonia' , '450' : 'Madagascar' , '454' : 'Malawi' , '458' : 'Malaysia' , '462' : 'Maldives' , '466' : 'Mali' , '470' : 'Malta' , '584' : 'Marshall Islands' , '474' : 'Martinique' , '478' : 'Mauritania' , '480' : 'Mauritius' , '175' : 'Mayotte' , '484' : 'Mexico' , '583' : 'Federated States of Micronesia' , '498' : 'Republic of Maldova' , '492' : 'Monaco' , '496' : 'Mongolia' , '499' : 'Montenegro' , '500' : 'Montserrat' , '504' : 'Morocco' , '508' : 'Mozambique' , '104' : 'Myanmar' , '516' : 'Namibia' , '520' : 'Nauru' , '524' : 'Nepal' , '528' : 'Netherlands' , '540' : 'New Caledonia' , '554' : 'New Zealand' , '558' : 'Nicaragua' , '562' : 'Niger' , '566' : 'Nigeria' , '570' : 'Niue' , '574' : 'Norfolk Island' , '580' : 'Northern Mariana Islands' , '578' : 'Norway' , '512' : 'Oman' , '586' : 'Pakistan' , '585' : 'Palau' , '275' : 'Occupied Palestinian Territory' , '591' : 'Panama' , '598' : 'Papua New Guinea' , '600' : 'Paraguay' , '604' : 'Peru' , '608' : 'Philippines' , '612' : 'Pitcairn' , '616' : 'Poland' , '620' : 'Portugal' , '630' : 'Puerto Rico' , '634' : 'Qatar' , '638' : 'Reunion' , '642' : 'Romania' , '643' : 'Russian Federation' , '646' : 'Rwanda' , '652' : 'Saint Barthelemy' , '654' : 'Saint Helena Ascension and Tristan da Cunha' , '659' : 'Saint Kitts and Nevis' , '662' : 'Saint Lucia' , '663' : 'Saint Martin (French part)' , '666' : 'Saint Pierre and Miquelon' , '670' : 'Saint Vincent and the Grenadines' , '882' : 'Samoa' , '674' : 'San Marino' , '678' : 'Sao Tome and Principe' , '682' : 'Saudi Arabia' , '686' : 'Senegal' , '688' : 'Serbia' , '690' : 'Seychelles' , '694' : 'Sierra Leone' , '702' : 'Singapore' , '534' : 'Sint Maarten (Dutch part)' , '703' : 'Slovakia' , '705' : 'Slovenia' , '90' : 'Solomon Islands' , '706' : 'Somalia' , '710' : 'South Africa' , '239' : 'South Georgia and the South Sandwich Islands' , '728' : 'South Sudan' , '724' : 'Spain' , '144' : 'Sri Lanka' , '729' : 'Sudan' , '740' : 'Suriname' , '744' : 'Svalbard and Jan Mayen' , '748' : 'Swaziland' , '752' : 'Sweden' , '756' : 'Switzerland' , '760' : 'Syrian Arab Republic' , '158' : 'Taiwan Province of China' , '762' : 'Tajikistan' , '834' : 'United Republic of Tanzania' , '764' : 'Thailand' , '626' : 'Timor-Leste' , '768' : 'Togo' , '772' : 'Tokelau' , '776' : 'Tonga' , '780' : 'Trinidad and Tobago' , '788' : 'Tunisia' , '792' : 'Turkey' , '795' : 'Turkmenistan' , '796' : 'Turks and Caicos Islands' , '798' : 'Tuvalu' , '800' : 'Uganda' , '804' : 'Ukraine' , '784' : 'United Arab Emirates' , '826' : 'United Kingdom' , '581' : 'United States Minor Outlying Islands' , '858' : 'Uruguay' , '860' : 'Uzbekistan' , '548' : 'Vanuatu' , '862' : 'Bolivarian Republic of Venezuela' , '704' : 'Viet Nam' , '92' : 'British Virgin Islands' , '850' :  'U.S. Virgin Islands' , '876' : 'Wallis and Futuna' , '732' : 'Western Sahara' , '887' : 'Yemen' , '263' : 'Zimbabwe' , '99' : 'Dont Know'})"
HCPD,REDCap,hcpd18,,sub_bio_m_county,,,,socdem01,birthcountry_mom,,,,,,,Please convert numeric codes to the text strings they represent.,sub_bio_m_county,,"studydata['sub_bio_m_county']=studydata.sub_bio_m_county.replace({'840' : 'United States' , '4' : 'Afghanistan' , '248' : 'Aland Islands' , '8' : 'Albania' , '12' : 'Algeria' , '16' : 'American Samoa' , '20' : 'Andorra' , '24' : 'Angola' , '660' : 'Anguilla' , '10' : 'Antarctica' , '28' : 'Antigua and Barbuda' , '32' : 'Argentina' , '51' : 'Armenia' , '533' : 'Aruba' , '36' : 'Australia' , '40' : 'Austria' , '31' : 'Azerbaijan' , '44' : 'Bahamas' , '48' : 'Bahrain' , '50' : 'Bangladesh' , '52' : 'Barbados' , '112' : 'Belarus' , '56' : 'Belgium' , '84' : 'Belize' , '204' : 'Benin' , '60' : 'Bermuda' , '64' : 'Bhutan' , '68' : 'Plurinational State of Bolivia' , '535' : 'Bonaire Sint Eustatius and Saba' , '70' : 'Bosnia and Herzegovina' , '72' : 'Botswana' , '74' : 'Bouvet Island' , '76' : 'Brazil' , '86' : 'British Indian Ocean Territory' , '96' : 'Brunei Darussalam' , '100' : 'Bulgaria' , '854' : 'Burkina Faso' , '108' : 'Burundi' , '116' : 'Cambodia' , '120' : 'Cameroon' , '124' : 'Canada' , '132' : 'Cape Verde' , '136' : 'Cayman Islands' , '140' : 'Central African Republic' , '148' : 'Chad' , '152' : 'Chile' , '156' : 'China' , '162' : 'Christmas Island' , '166' : 'Cocos (Keeling) Islands' , '170' : 'Colombia' , '174' : 'Comoros' , '178' : 'Congo' , '180' : 'the Democratic Republic of the Congo' , '184' : 'Cook Islands' , '188' : 'Costa Rica' , '384' : 'Cote dIvoire' , '191' : 'Croatia' , '192' : 'Cuba' , '531' : 'Curacao' , '196' : 'Cyprus' , '203' : 'Czech Republic' , '208' : 'Denmark' , '262' : 'Djibouti' , '212' : 'Dominica' , '214' : 'Dominican Republic' , '218' : 'Ecuador' , '818' : 'Egypt' , '222' : 'El Salvador' , '226' : 'Equatorial Guinea' , '232' : 'Eritrea' , '233' : 'Estonia' , '231' : 'Ethiopia' , '238' : 'Falkland Islands (Malvinas)' , '234' : 'Faroe Islands' , '242' : 'Fiji' , '246' : 'Finland' , '250' : 'France' , '254' : 'French Guiana' , '258' : 'French Polynesia' , '260' : 'French Southern Territories' , '266' : 'Gabon' , '270' : 'Gambia' , '268' : 'Georgia' , '276' : 'Germany' , '288' : 'Ghana' , '292' : 'Gibraltar' , '300' : 'Greece' , '304' : 'Greenland' , '308' : 'Grenada' , '312' : 'Guadeloupe' , '316' : 'Guam' , '320' : 'Guatemala' , '831' : 'Guernsey' , '324' : 'Guinea' , '624' : 'Guinea-Bissau' , '328' : 'Guyana' , '332' : 'Haiti' , '334' : 'Heard Island and McDonald Islands' , '336' : 'Holy See (Vatican City State)' , '340' : 'Honduras' , '344' : 'Hong Kong' , '348' : 'Hungary' , '352' : 'Iceland' , '356' : 'India' , '360' : 'Indonesia' , '364' : 'Islamic Republic of Iran' , '368' : 'Iraq' , '372' : 'Ireland' , '833' : 'Isle of Man' , '376' : 'Israel' , '380' : 'Italy' , '388' : 'Jamaica' , '392' : 'Japan' , '832' : 'Jersey' , '400' : 'Jordan' , '398' : 'Kazakhstan' , '404' : 'Kenya' , '296' : 'Kiribati' , '408' :  'Democratic Peoples Republic of Korea' , '410'  : 'Republic of Korea' , '414' : 'Kuwait' , '417' : 'Kyrgyzstan' , '418' : 'Lao Peoples Democratic Republic' , '428' : 'Latvia' , '422' : 'Lebanon' , '426' : 'Lesotho' , '430' : 'Liberia' , '434' : 'Libya' , '438' : 'Liechtenstein' , '440' : 'Lithuania' , '442' : 'Luxembourg' , '446' : 'Macao' , '807' : 'the former Yugoslav Republic of Macedonia' , '450' : 'Madagascar' , '454' : 'Malawi' , '458' : 'Malaysia' , '462' : 'Maldives' , '466' : 'Mali' , '470' : 'Malta' , '584' : 'Marshall Islands' , '474' : 'Martinique' , '478' : 'Mauritania' , '480' : 'Mauritius' , '175' : 'Mayotte' , '484' : 'Mexico' , '583' : 'Federated States of Micronesia' , '498' : 'Republic of Maldova' , '492' : 'Monaco' , '496' : 'Mongolia' , '499' : 'Montenegro' , '500' : 'Montserrat' , '504' : 'Morocco' , '508' : 'Mozambique' , '104' : 'Myanmar' , '516' : 'Namibia' , '520' : 'Nauru' , '524' : 'Nepal' , '528' : 'Netherlands' , '540' : 'New Caledonia' , '554' : 'New Zealand' , '558' : 'Nicaragua' , '562' : 'Niger' , '566' : 'Nigeria' , '570' : 'Niue' , '574' : 'Norfolk Island' , '580' : 'Northern Mariana Islands' , '578' : 'Norway' , '512' : 'Oman' , '586' : 'Pakistan' , '585' : 'Palau' , '275' : 'Occupied Palestinian Territory' , '591' : 'Panama' , '598' : 'Papua New Guinea' , '600' : 'Paraguay' , '604' : 'Peru' , '608' : 'Philippines' , '612' : 'Pitcairn' , '616' : 'Poland' , '620' : 'Portugal' , '630' : 'Puerto Rico' , '634' : 'Qatar' , '638' : 'Reunion' , '642' : 'Romania' , '643' : 'Russian Federation' , '646' : 'Rwanda' , '652' : 'Saint Barthelemy' , '654' : 'Saint Helena Ascension and Tristan da Cunha' , '659' : 'Saint Kitts and Nevis' , '662' : 'Saint Lucia' , '663' : 'Saint Martin (French part)' , '666' : 'Saint Pierre and Miquelon' , '670' : 'Saint Vincent and the Grenadines' , '882' : 'Samoa' , '674' : 'San Marino' , '678' : 'Sao Tome and Principe' , '682' : 'Saudi Arabia' , '686' : 'Senegal' , '688' : 'Serbia' , '690' : 'Seychelles' , '694' : 'Sierra Leone' , '702' : 'Singapore' , '534' : 'Sint Maarten (Dutch part)' , '703' : 'Slovakia' , '705' : 'Slovenia' , '90' : 'Solomon Islands' , '706' : 'Somalia' , '710' : 'South Africa' , '239' : 'South Georgia and the South Sandwich Islands' , '728' : 'South Sudan' , '724' : 'Spain' , '144' : 'Sri Lanka' , '729' : 'Sudan' , '740' : 'Suriname' , '744' : 'Svalbard and Jan Mayen' , '748' : 'Swaziland' , '752' : 'Sweden' , '756' : 'Switzerland' , '760' : 'Syrian Arab Republic' , '158' : 'Taiwan Province of China' , '762' : 'Tajikistan' , '834' : 'United Republic of Tanzania' , '764' : 'Thailand' , '626' : 'Timor-Leste' , '768' : 'Togo' , '772' : 'Tokelau' , '776' : 'Tonga' , '780' : 'Trinidad and Tobago' , '788' : 'Tunisia' , '792' : 'Turkey' , '795' : 'Turkmenistan' , '796' : 'Turks and Caicos Islands' , '798' : 'Tuvalu' , '800' : 'Uganda' , '804' : 'Ukraine' , '784' : 'United Arab Emirates' , '826' : 'United Kingdom' , '581' : 'United States Minor Outlying Islands' , '858' : 'Uruguay' , '860' : 'Uzbekistan' , '548' : 'Vanuatu' , '862' : 'Bolivarian Republic of Venezuela' , '704' : 'Viet Nam' , '92' : 'British Virgin Islands' , '850' :  'U.S. Virgin Islands' , '876' : 'Wallis and Futuna' , '732' : 'Western Sahara' , '887' : 'Yemen' , '263' : 'Zimbabwe' , '99' : 'Dont Know'})"
HCPD,REDCap,hcpd18,,sub_mgrade,,,,socdem01,mother_edu_cat,,,,,,,"Please recode 13 as 14 (for ""High school graduate""), 14 as 13 (for ""GED or equivalent""), 15 as 16 (for ""Some college, no degree""), 16 as 17 (for ""Associate degree: occupational/technical/vocational program""), 17 as 18 (for ""Associate degree: academic program""), 18 as 20 (for ""Bachelor degree (e.g., BA, AB, BS, BBA)""), 19 as 22 (for ""Master's degree (e.g., MA, MS, MEng, MEd, MBA)""), 20 as 23 (for ""Professional school degree (e.g., MD, DDS, DVM, JD)""), and 21 as 24 (for ""Doctoral degree (e.g., PhD, EdD)"").",sub_mgrade,,"studydata['sub_mgradeswitch']=studydata.sub_mgrade.replace({'13':'14','14':'13','15':'16','16':'17','17':'18','18':'20','19':'22','20':'23','21':'24'});  studydata['sub_mgrade']=studydata.sub_mgradeswitch"
HCPD,REDCap,hcpd18,,sub_fgrade,,,,socdem01,father_edu_cat,,,,,,,"Please recode 13 as 14 (for ""High school graduate""), 14 as 13 (for ""GED or equivalent""), 15 as 16 (for ""Some college, no degree""), 16 as 17 (for ""Associate degree: occupational/technical/vocational program""), 17 as 18 (for ""Associate degree: academic program""), 18 as 20 (for ""Bachelor degree (e.g., BA, AB, BS, BBA)""), 19 as 22 (for ""Master's degree (e.g., MA, MS, MEng, MEd, MBA)""), 20 as 23 (for ""Professional school degree (e.g., MD, DDS, DVM, JD)""), and 21 as 24 (for ""Doctoral degree (e.g., PhD, EdD)"").",sub_fgrade,,"studydata['sub_fgradeswitch']=studydata.sub_fgrade.replace({'13':'14','14':'13','15':'16','16':'17','17':'18','18':'20','19':'22','20':'23','21':'24'});  studydata['sub_fgrade']=studydata.sub_fgradeswitch"
HCPD,REDCap,hcpd18,,family_income_dfct1,,,,socdem01,family_income_dfct1,,,,,,,,family_income_dfct1,,
HCPD,REDCap,hcpd18,,family_income_dfct2,,,,socdem01,family_income_dfct2,,,,,,,,family_income_dfct2,,
HCPD,REDCap,hcpd18,,family_income_dfct3,,,,socdem01,family_income_dfct3,,,,,,,,family_income_dfct3,,
HCPD,REDCap,hcpd18,,family_income_dfct4,,,,socdem01,family_income_dfct4,,,,,,,,family_income_dfct4,,
HCPD,REDCap,hcpd18,,family_income_dfct5,,,,socdem01,family_income_dfct5,,,,,,,,family_income_dfct5,,
HCPD,REDCap,hcpd18,,family_income_dfct6,,,,socdem01,family_income_dfct6,,,,,,,,family_income_dfct6,,
HCPD,REDCap,hcpd18,,family_income_dfct7,,,,socdem01,family_income_dfct7,,,,,,,,family_income_dfct7,,
HCPD,REDCap,hcpd18 hcpdparent,,lan_know,,,,leap01,lan_know,,,,,,,,lan_know,,
HCPD,REDCap,hcpd18 hcpdparent,,lan11,,,,leap01,lan11,,,,,,,,lan11,,
HCPD,REDCap,hcpd18 hcpdparent,,lan12,,,,leap01,lan12,,,,,,,,lan12,,
HCPD,REDCap,hcpd18 hcpdparent,,lan13,,,,leap01,lan13,,,,,,,,lan13,,
HCPD,REDCap,hcpd18 hcpdparent,,lan14,,,,leap01,lan14,,,,,,,,lan14,,
HCPD,REDCap,hcpd18 hcpdparent,,lan21,,,,leap01,lan21,,,,,,,,lan21,,
HCPD,REDCap,hcpd18 hcpdparent,,lan22,,,,leap01,lan22,,,,,,,,lan22,,
HCPD,REDCap,hcpd18 hcpdparent,,lan23,,,,leap01,lan23,,,,,,,,lan23,,
HCPD,REDCap,hcpd18 hcpdparent,,lan24,,,,leap01,lan24,,,,,,,,lan24,,
HCPD,REDCap,hcpd18 hcpdparent,,lan31,,,,leap01,lan31,,,,,,,,lan31,,
HCPD,REDCap,hcpd18 hcpdparent,,lan32,,,,leap01,lan32,,,,,,,,lan32,,
HCPD,REDCap,hcpd18 hcpdparent,,lan33,,,,leap01,lan33,,,,,,,,lan33,,
HCPD,REDCap,hcpd18 hcpdparent,,lan34,,,,leap01,lan34,,,,,,,,lan34,,
HCPD,REDCap,hcpd18 hcpdparent,,lan3err,,,,leap01,lan3err,,,,,,,,lan3err,,
HCPD,REDCap,hcpd18 hcpdparent,,lan41,,,,leap01,lan41,,,,,,,,lan41,,
HCPD,REDCap,hcpd18 hcpdparent,,lan42,,,,leap01,lan42,,,,,,,,lan42,,
HCPD,REDCap,hcpd18 hcpdparent,,lan43,,,,leap01,lan43,,,,,,,,lan43,,
HCPD,REDCap,hcpd18 hcpdparent,,lan44,,,,leap01,lan44,,,,,,,,lan44,,
HCPD,REDCap,hcpd18 hcpdparent,,lan4err,,,,leap01,lan4err,,,,,,,,lan4err,,
HCPD,REDCap,hcpd18 hcpdparent,,lan511,,,,leap01,lan511,,,,,,,,lan511,,
HCPD,REDCap,hcpd18 hcpdparent,,lan512,,,,leap01,lan512,,,,,,,,lan512,,
HCPD,REDCap,hcpd18 hcpdparent,,lan513,,,,leap01,lan513,,,,,,,,lan513,,
HCPD,REDCap,hcpd18 hcpdparent,,lan514,,,,leap01,lan514,,,,,,,,lan514,,
HCPD,REDCap,hcpd18 hcpdparent,,lan521,,,,leap01,lan521,,,,,,,,lan521,,
HCPD,REDCap,hcpd18 hcpdparent,,lan522,,,,leap01,lan522,,,,,,,,lan522,,
HCPD,REDCap,hcpd18 hcpdparent,,lan523,,,,leap01,lan523,,,,,,,,lan523,,
HCPD,REDCap,hcpd18 hcpdparent,,lan524,,,,leap01,lan524,,,,,,,,lan524,,
HCPD,REDCap,hcpd18 hcpdparent,,lan531,,,,leap01,lan531,,,,,,,,lan531,,
HCPD,REDCap,hcpd18 hcpdparent,,lan532,,,,leap01,lan532,,,,,,,,lan532,,
HCPD,REDCap,hcpd18 hcpdparent,,lan533,,,,leap01,lan533,,,,,,,,lan533,,
HCPD,REDCap,hcpd18 hcpdparent,,lan534,,,,leap01,lan534,,,,,,,,lan534,,
HCPD,REDCap,hcpd18 hcpdparent,,lan541,,,,leap01,lan541,,,,,,,,lan541,,
HCPD,REDCap,hcpd18 hcpdparent,,lan542,,,,leap01,lan542,,,,,,,,lan542,,
HCPD,REDCap,hcpd18 hcpdparent,,lan543,,,,leap01,lan543,,,,,,,,lan543,,
HCPD,REDCap,hcpd18 hcpdparent,,lan544,,,,leap01,lan544,,,,,,,,lan544,,
HCPD,REDCap,hcpd18 hcpdparent,,lan611,,,,leap01,lan611,,,,,,,,lan611,,
HCPD,REDCap,hcpd18 hcpdparent,,lan612,,,,leap01,lan612,,,,,,,,lan612,,
HCPD,REDCap,hcpd18 hcpdparent,,lan613,,,,leap01,lan613,,,,,,,,lan613,,
HCPD,REDCap,hcpd18 hcpdparent,,lan621,,,,leap01,lan621,,,,,,,,lan621,,
HCPD,REDCap,hcpd18 hcpdparent,,lan622,,,,leap01,lan622,,,,,,,,lan622,,
HCPD,REDCap,hcpd18 hcpdparent,,lan623,,,,leap01,lan623,,,,,,,,lan623,,
HCPD,REDCap,hcpd18 hcpdparent,,lan631,,,,leap01,lan631,,,,,,,,lan631,,
HCPD,REDCap,hcpd18 hcpdparent,,lan632,,,,leap01,lan632,,,,,,,,lan632,,
HCPD,REDCap,hcpd18 hcpdparent,,lan633,,,,leap01,lan633,,,,,,,,lan633,,
HCPD,REDCap,hcpd18 hcpdparent,,lan641,,,,leap01,lan641,,,,,,,,lan641,,
HCPD,REDCap,hcpd18 hcpdparent,,lan642,,,,leap01,lan642,,,,,,,,lan642,,
HCPD,REDCap,hcpd18 hcpdparent,,lan643,,,,leap01,lan643,,,,,,,,lan643,,
HCPD,REDCap,hcpd18 hcpdparent,,lan71,,,,leap01,lan71,,,,,,,,lan71,,
HCPD,REDCap,hcpd18 hcpdparent,,lan72,,,,leap01,lan72,,,,,,,,lan72,,
HCPD,REDCap,hcpd18 hcpdparent,,lan73,,,,leap01,lan73,,,,,,,,lan73,,
HCPD,REDCap,hcpd18 hcpdparent,,lan74,,,,leap01,lan74,,,,,,,,lan74,,
HCPD,REDCap,hcpd18 hcpdparent,,lan81,,,,leap01,lan81,,,,,,,,lan81,,
HCPD,REDCap,hcpd18 hcpdparent,,lan82,,,,leap01,lan82,,,,,,,,lan82,,
HCPD,REDCap,hcpd18 hcpdparent,,lan83,,,,leap01,lan83,,,,,,,,lan83,,
HCPD,REDCap,hcpd18 hcpdparent,,lan84,,,,leap01,lan84,,,,,,,,lan84,,
HCPD,REDCap,hcpdchild,,dummy_var14,,,,mctq01,version_form,,,,,,,"Please specify a time range of ""Past 4 weeks"" for all records.",version_form,,studydata['version_form']='Past 4 weeks'
HCPD,REDCap,hcpdchild,,mctq_school_yn,,,,mctq01,regsch,,,,,,,,mctq_school_yn,,
HCPD,REDCap,hcpdchild,,mctq_school_days,,,,mctq01,eo20,,,,,,,,mctq_school_days,,
